event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
PLACE,1493557440000,2017-04-30T13:04:00Z,6|1.131162847|5851482|None|BACK|1.06|2017-04-30T13:03:59.809000Z,6,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.060000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,976.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,7|1.131162847|5851482|None|BACK|1.07|2017-04-30T13:03:59.809000Z,7,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.070000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,7|1.131162847|5851482|None|BACK|1.07|2017-04-30T13:03:59.809000Z,7,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.070000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,972.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,8|1.131162847|5851482|None|BACK|1.08|2017-04-30T13:03:59.809000Z,8,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.080000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,8|1.131162847|5851482|None|BACK|1.08|2017-04-30T13:03:59.809000Z,8,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.080000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,968.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,9|1.131162847|5851482|None|BACK|1.09|2017-04-30T13:03:59.809000Z,9,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.090000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,9|1.131162847|5851482|None|BACK|1.09|2017-04-30T13:03:59.809000Z,9,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.090000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,964.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,10|1.131162847|5851482|None|BACK|1.1|2017-04-30T13:03:59.809000Z,10,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.100000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,10|1.131162847|5851482|None|BACK|1.1|2017-04-30T13:03:59.809000Z,10,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.100000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,960.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,11|1.131162847|5851482|None|BACK|1.11|2017-04-30T13:03:59.809000Z,11,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.110000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,11|1.131162847|5851482|None|BACK|1.11|2017-04-30T13:03:59.809000Z,11,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.110000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,956.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,12|1.131162847|5851482|None|BACK|1.12|2017-04-30T13:03:59.809000Z,12,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.120000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,12|1.131162847|5851482|None|BACK|1.12|2017-04-30T13:03:59.809000Z,12,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.120000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,952.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,13|1.131162847|5851482|None|BACK|1.13|2017-04-30T13:03:59.809000Z,13,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.130000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,13|1.131162847|5851482|None|BACK|1.13|2017-04-30T13:03:59.809000Z,13,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.130000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,948.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,14|1.131162847|5851482|None|BACK|1.14|2017-04-30T13:03:59.809000Z,14,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.140000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
