signal_id,signal_utc,minute,phase,score,market_type,market_name,runner_name,side,price,stake,engine_add_amount,engine_add_count,first_add_utc,future_match_amount,future_remove_amount,fill_proxy,fill_proxy_amount,cancel_proxy,same_level_remove_amount,same_level_match_amount,opposite_side_match_amount,near_remove_match_same_amount,near_remove_match_opp_amount,outcome,entry_order_side,fill_utc,exit_utc,exit_proxy,exit_side,exit_price,price_diff,pnl_proxy,pnl_status
15,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.15,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
16,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.16,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
17,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.17,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
18,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.18,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
19,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.19,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
20,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.2,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
21,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.21,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
22,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.22,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
23,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.23,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
24,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.24,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
25,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,ATL,1.25,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
26,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.01,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
27,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.02,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
28,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.03,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
29,2017-04-30T13:03:59.809000Z,-1.00,PREPLAY_SEED_GRID,0-0,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,ATL,1.04,4.00,,,2017-04-30T13:03:59.809000Z,,,,,,,,,,,PREPLAY_SEED_GRID_BACK_UNDER,BACK,,,,,,,0,PREPLAY_SEED_GRID
