event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
PLACE,1493557440000,2017-04-30T13:04:00Z,78|1.131162757|1222344|None|LAY|1.03|2017-04-30T13:03:59.809000Z,78,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.030000,4.000000,0.000000,4.000000,1676.320000,1676.320000,open,0.120000,960.760000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,79|1.131162757|1222344|None|LAY|1.04|2017-04-30T13:03:59.809000Z,79,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.040000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,79|1.131162757|1222344|None|LAY|1.04|2017-04-30T13:03:59.809000Z,79,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.040000,4.000000,0.000000,4.000000,1367.140000,1367.140000,open,0.160000,960.600000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,80|1.131162757|1222344|None|LAY|1.05|2017-04-30T13:03:59.809000Z,80,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.050000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,80|1.131162757|1222344|None|LAY|1.05|2017-04-30T13:03:59.809000Z,80,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.050000,4.000000,0.000000,4.000000,1226.500000,1226.500000,open,0.200000,960.400000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,81|1.131162757|1222344|None|LAY|1.06|2017-04-30T13:03:59.809000Z,81,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.060000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,81|1.131162757|1222344|None|LAY|1.06|2017-04-30T13:03:59.809000Z,81,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.060000,4.000000,0.000000,4.000000,1129.930000,1129.930000,open,0.240000,960.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,82|1.131162757|1222344|None|LAY|1.07|2017-04-30T13:03:59.809000Z,82,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.070000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,82|1.131162757|1222344|None|LAY|1.07|2017-04-30T13:03:59.809000Z,82,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.070000,4.000000,0.000000,4.000000,1128.250000,1128.250000,open,0.280000,959.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,83|1.131162757|1222344|None|LAY|1.08|2017-04-30T13:03:59.809000Z,83,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.080000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,83|1.131162757|1222344|None|LAY|1.08|2017-04-30T13:03:59.809000Z,83,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.080000,4.000000,0.000000,4.000000,1124.040000,1124.040000,open,0.320000,959.560000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
