event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
CANCEL,1493558569250,2017-04-30T13:22:49.250000Z,11|1.131162723|1221386|None|LAY|1.28|2017-04-30T13:22:09.173Z,,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.280000,4.000000,0.000000,0.000000,3976.400000,972.530000,cancelled,1.120000,998.800000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493558569250,2017-04-30T13:22:49.250000Z,11|1.131162806|47999|None|LAY|1.3|2017-04-30T13:22:09.173Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.300000,4.000000,0.000000,0.000000,4115.870000,3195.080000,cancelled,1.200000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_PLACE,1493558694250,2017-04-30T13:24:54.250000Z,12|1.131162806|47999|None|LAY|1.3|2017-04-30T13:24:54.035Z,12,MATCH_ODDS,Match Odds,Man City,LAY,1.300000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558699250,2017-04-30T13:24:59.250000Z,12|1.131162806|47999|None|LAY|1.3|2017-04-30T13:24:54.035Z,12,MATCH_ODDS,Match Odds,Man City,LAY,1.300000,4.000000,0.000000,4.000000,3622.370000,3622.370000,open,1.200000,998.800000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
FILL,1493558728250,2017-04-30T13:25:28.250000Z,12|1.131162806|47999|None|LAY|1.3|2017-04-30T13:24:54.035Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.300000,4.000000,4.000000,0.000000,3622.370000,0.000000,filled,1.200000,1000.000000,1401.980000,4.000000,VISIBLE_REMOVE,1,1401.980000,0.000000,0.000000,,,,action_log_consumption
EXIT,1493558728250,2017-04-30T13:25:28.250000Z,12|1.131162806|47999|None|LAY|1.3|2017-04-30T13:24:54.035Z,12,MATCH_ODDS,Match Odds,Man City,LAY,1.300000,4.000000,4.000000,0.000000,3622.370000,0.000000,exited,1.200000,1000.000000,0.000000,0.000000,,0,0.000000,-0.231884,1.000000,2017-04-30T13:25:35.851000Z,1.380000,fallback_after_fill,fallback_exit_after_fill
SETTLE,1493558728250,2017-04-30T13:25:28.250000Z,12|1.131162806|47999|None|LAY|1.3|2017-04-30T13:24:54.035Z,12,MATCH_ODDS,Match Odds,Man City,LAY,1.300000,4.000000,4.000000,0.000000,3622.370000,0.000000,settled,0.000000,999.768116,0.000000,0.000000,,0,0.000000,-0.231884,1.000000,2017-04-30T13:25:35.851000Z,1.380000,fallback_after_fill,settlement=fallback_after_fill
REQUEST_PLACE,1493558780000,2017-04-30T13:26:20Z,13|1.131162723|1221386|None|LAY|1.32|2017-04-30T13:26:19.810Z,13,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.320000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558781000,2017-04-30T13:26:21Z,13|1.131162807|285470|-2.0|BACK|1.36|2017-04-30T13:26:20.794Z,13,TOTAL_GOALS,Total Goals,2 goals or more,BACK,1.360000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558781750,2017-04-30T13:26:21.750000Z,13|1.131162806|47999|None|LAY|1.32|2017-04-30T13:26:21.636Z,13,MATCH_ODDS,Match Odds,Man City,LAY,1.320000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558781750,2017-04-30T13:26:21.750000Z,13|1.131162806|47999|None|BACK|1.47|2017-04-30T13:26:21.700Z,13,MATCH_ODDS,Match Odds,Man City,BACK,1.470000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558782500,2017-04-30T13:26:22.500000Z,13|1.131162719|47973|None|LAY|2|2017-04-30T13:26:22.371Z,13,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.000000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
